"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","No Contract","103302","40001033","32310","AF  ","LA COUNTRY CARE","OP    ","2073 W BENCH RD","OTHELLO","WA","99344","Adams","2073 W BENCH RD","OTHELLO","WA","99344","(509) 488-9756","","(509) 488-0684","1C","SPMI, SPDE, SPDD","","Quezada, Guadalupe A.","6","","","","1022696","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=103302","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=103302",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754222","40009324","45660","AF  ","Othello Senior Care LLC","OP    ","520 E Rose Dr","Othello","WA","99344","Adams","520 E Rose Dr","Othello","WA","99344","(509) 488-9556","","(509) 488-6081","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Castillo, Diana E.","6","","","","198098","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754222","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754222",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753550","40009857","44689","AF  ","Serenity Adult Family Home LLC","OP    ","1120 S Shady Lane","Othello","WA","99344","Adams","1120 S Shady Lane","Othello","WA","99344","(509) 488-3077","","(509) 488-5959","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gonzalez, Maria D.","6","","","","783603","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753550","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753550",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","756697","40005179","48937","AF  ","The Village","OP    ","2075 W BENCH RD","OTHELLO","WA","99344","Adams","2075 W BENCH RD","OTHELLO","WA","99344","(509) 331-5500","","(509) 331-5500","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Quezada, Guadalupe A.","6","","","","1022696","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756697","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756697",
"Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Expanded Community Services, Adult Family Home","378700","40003787","35510","AF  ","WEEPING RIDGE ESTATE AFH INC","OP    ","2455 W BENCH RD","OTHELLO","WA","99344","Adams","P.O Box D","OTHELLO","WA","99344","(509) 488-6233","","(509) 488-3600","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rodriguez Jr, Israel","6","","","","511922","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=378700","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=378700",
"Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Adult Family Home","751171","40008820","40065","AF  ","Weeping Ridge West, Inc","OP    ","2455-B  W Bench Rd","Othello","WA","99344","Adams","PO Box D","Othello","WA","99344","(509) 488-3500","","(509) 488-3600","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Rodriguez Jr, Israel","6","","","","511922","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751171","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751171",
"Mental Health, Dementia","Adult Family Home","758104","40014410","51205","AF  ","A & H Excellent Quality AFH","OP    ","3784 Ohio St","Longview","WA","98632","Cowlitz","3784 Ohio St","Longview","WA","98632","(206) 488-5574","","","3F","SPMI, SPDE","1080XS-12 ","DESSIE, ASRES H.","6","","","","190716","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758104","No"," ",
"Mental Health, Dementia","Adult Family Home","755449","40009981","47582","AF  ","A Excellent Quality Care Home LLC","OP    ","2446 50th Ave","Longview","WA","98632","Cowlitz","2446 50th Ave","Longview","WA","98632","(360) 575-9356","","(206) 488-5574","3F","SPMI, SPDE","1080XS-12 ","DESSIE, ASRES H.","6","","","","190716","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755449","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755449",
"Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","751778","40009327","40920","AF  ","A Time Honored Adult Family Home, LLC","OP    ","154 Niblett Way","Longview","WA","98632","Cowlitz","154 Niblett Way","Longview","WA","98632","(360) 703-3404","","(360) 252-6468","3F","SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Burgoyne, Amanda","6","","","","444182","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751778","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751778",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758235","40014444","51275","AF  ","AANGELS HEART 2 AFH LLC","OP    ","105 Monterey Dr","Kelso","WA","98626","Cowlitz","105 Monterey Dr","Kelso","WA","98626","(206) 294-0457","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","NJUGUNA, ALEXANDER M.","6","","","","440792","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758235","No"," ",
