"Speciality","contract","Check_Type","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Has Reports?","Reports Location",
"None","Assisted Living SOW","","2631","60001105","47840","BH  ","Community Pride Ritzville LLC","OP    ","406 S Cascade St","Ritzville","WA","99169","Adams","PO Box 59","Saint John","WA","99171","(509) 659-4717","","(509) 659-4716","1B","","1002XS-12 ","Sadera, Isaac","21","4/30/2026 12:00:00 AM","","","175883","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2631",
"None","Assisted Living SOW","","2334","60008896","43697","BH  ","COVENTRY HOUSE","OP    ","430 N 2nd Ave","Othello","WA","99344","Adams","430 N 2nd Ave","Othello","WA","99344","(509) 488-1000","","(509) 488-9235","1B","","1002XS-12 ","Flores, Monica","55","3/31/2027 12:00:00 AM","","","877285","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2334",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS","","2039","60009516","39377","BH  ","AVALON PROGRESSIVE CARE LLC","OP    ","1937 2ND AVE","CLARKSTON","WA","99403     ","Asotin","1937 2ND AVE","CLARKSTON","WA","99403     ","(509) 758-6770","(509) 758-9310","","1B","","1006XS-12 , 1006XS-12 ","Galles, Carol A.","12","7/31/2026 12:00:00 AM","","","750225","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2039",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2022","60000693","40054","BH  ","EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY","OP    ","1215 Evergreen Ct","Clarkston","WA","99403","Asotin","1215 Evergreen Ct","Clarkston","WA","99403","(509) 758-5260","(509) 758-1992","","1B","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Camerlo, Peter A.","55","9/30/2026 12:00:00 AM","","","749120","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2022",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","2616","60008773","47348","BH  ","Amber Hills Assisted Living","OP    ","125 N Wamba Rd","Prosser","WA","99350","Benton","125 N Wamba Rd","Prosser","WA","99350","(509) 786-3100","","(509) 786-2543","1G","","1006XS-12 , 1002XS-12 , 1006XS-12 ","McDaniel, Thomas W.","44","11/30/2026 12:00:00 AM","","","623108","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2616",
"None","No Contract","","2015","60009525","39600","BH  ","BONAVENTURE OF THE TRI-CITIES","OP    ","1800 BELLERIVE DRIVE","RICHLAND","WA","99352","Benton","3425 Boone Rd., SE","SALEM","OR","97317","(509) 628-0221","(509) 628-0622","","1G","","","Cornwell, Dallas E.","123","11/30/2026 12:00:00 AM","","","756498","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2015",
"None","No Contract","","2263","60007845","42372","BH  ","Brookdale Canyon Lakes","OP    ","2802 W 35TH AVE","KENNEWICK","WA","99337","Benton","2802 W 35TH AVE","KENNEWICK","WA","99337","(509) 586-5633","(509) 586-5016","","1G","","","Green, Joseph","53","10/31/2026 12:00:00 AM","","","750212","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2263",
"None","Enhanced Adult Residential Care, Assisted Living SOW","","2311","60008703","42383","BH  ","Brookdale Meadow Springs","OP    ","770 Gage Blvd","Richland","WA","99352","Benton","770 Gage Blvd","Richland","WA","99352","(509) 627-3032","(509) 627-3160","","1G","","1006XS-12 , 1002XS-12 ","Peterson, Laura","108","6/30/2026 12:00:00 AM","","","704476","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2311",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","1696","60000663","30848","BH  ","Brookdale Richland","OP    ","1629 George Washington Way","Richland","WA","99354","Benton","1629 GEORGE WASHINGTON WAY","RICHLAND","WA","99352","(509) 946-4600","","(509) 943-3166","1G","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Steiling, Heather R.","159","4/30/2027 12:00:00 AM","","","508073","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1696",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2325","60008842","42394","BH  ","Brookdale Torbett","OP    ","221 Torbett St","Richland","WA","99354","Benton","221 Torbett St","Richland","WA","99354","(509) 943-5353","(509) 943-0433","","1G","","1027XS-12 , 1006XS-12 ","McCallum, Farah","48","4/30/2027 12:00:00 AM","","","499405","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2325",
