"Record ID","Source Type","Duplicate Check Key","FacilityName","FacilityStatus","FacilityType","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","Phone","Fax","ConfidentialFax","LicenseNumber","LicensedBedCount","LicenseExpirationDate","OwnershipType","ChainName","CMSCertificationNumber","CMSOverallRating","CMSHealthInspectionRating","CMSStaffingRating","CMSQMRating","CEOAdmin","CFO","Owner","Parent","Medicare1","Medicare2","Medicare3","OrgType","ICUBeds","AcuteBeds","PsychBeds","SNFBeds","CDU_ATCBeds","OtherBeds","AvailableBeds","LicensedBeds","Specialty","Contract","RCSRegionUnit","SpecialtyCode","ContractCode","FacilityPOC","POCId","MemoryCertFlag","CheckCompleteDate","CheckType","DisclosureOfServices","HasReports","ReportsLocation","NumberOfCertifiedBeds","AvgResidentsPerDay","ProviderType","ProviderResidesInHospital","LegalBusinessName","DateFirstApproved","SpecialFocusStatus","AbuseIcon","OverallRating","HealthInspectionRatingCMS","QMRating","StaffingRating","NurseAideHours","LPNHours","RNHours","TotalNurseHours","PhysicalTherapistHours","NursingStaffTurnover","RNTurnover","AdminTurnover","TotalFines","TotalPenalties","Latitude","Longitude","DataLoadDate","AF Raw_Speciality","AF Raw_contract","AF Raw_LicenseNumber","AF Raw_LocationNumber","AF Raw_FacInstanceId","AF Raw_FacilityType","AF Raw_FacilityName","AF Raw_FacilityStatus","AF Raw_LocationAddress","AF Raw_LocationCity","AF Raw_LocationState","AF Raw_LocationZipCode","AF Raw_LocationCounty","AF Raw_MailAddress","AF Raw_MailCity","AF Raw_MailState","AF Raw_MailZipCode","AF Raw_TelephoneNmbr","AF Raw_FaxNmbr","AF Raw_ConfidentialFaxNmbr","AF Raw_RCSRegionUnit","AF Raw_SpecialityCode","AF Raw_ContractCode","AF Raw_FacilityPOC","AF Raw_LicensedBedCount","AF Raw_LicenseExpirationDate","AF Raw_CheckCompleteDate","AF Raw_CheckType","AF Raw_POCId","AF Raw_MemoryCertFlag","AF Raw_Disclosure of Services","AF Raw_Has Reports?","AF Raw_Reports Location","AF Raw_Specialty","BH Raw_Speciality","BH Raw_contract","BH Raw_Check_Type","BH Raw_LicenseNumber","BH Raw_LocationNumber","BH Raw_FacInstanceId","BH Raw_FacilityType","BH Raw_FacilityName","BH Raw_FacilityStatus","BH Raw_LocationAddress","BH Raw_LocationCity","BH Raw_LocationState","BH Raw_LocationZipCode","BH Raw_LocationCounty","BH Raw_MailAddress","BH Raw_MailCity","BH Raw_MailState","BH Raw_MailZipCode","BH Raw_TelephoneNmbr","BH Raw_FaxNmbr","BH Raw_ConfidentialFaxNmbr","BH Raw_RCSRegionUnit","BH Raw_SpecialityCode","BH Raw_ContractCode","BH Raw_FacilityPOC","BH Raw_LicensedBedCount","BH Raw_LicenseExpirationDate","BH Raw_CheckCompleteDate","BH Raw_CheckType_2","BH Raw_POCId","BH Raw_MemoryCertFlag","BH Raw_Disclosure of Services","BH Raw_Has Reports?","BH Raw_Reports Location","BH Raw_Specialty","CMS Raw_CMS Certification Number (CCN)","CMS Raw_Provider Name","CMS Raw_Provider Address","CMS Raw_City/Town","CMS Raw_State","CMS Raw_ZIP Code","CMS Raw_Telephone Number","CMS Raw_County/Parish","CMS Raw_Ownership Type","CMS Raw_Number of Certified Beds","CMS Raw_Average Number of Residents per Day","CMS Raw_Provider Type","CMS Raw_Legal Business Name","CMS Raw_Chain Name","CMS Raw_Overall Rating","CMS Raw_Health Inspection Rating","CMS Raw_QM Rating","CMS Raw_Staffing Rating","CMS Raw_Special Focus Status","CMS Raw_Abuse Icon","CMS Raw_Latitude","CMS Raw_Longitude","Hospital Raw_Name","Hospital Raw_License","Hospital Raw_Address","Hospital Raw_POBox","Hospital Raw_City","Hospital Raw_ZipCode","Hospital Raw_Phone","Hospital Raw_Fax","Hospital Raw_County","Hospital Raw_CEOAdmin","Hospital Raw_CFO","Hospital Raw_Owner","Hospital Raw_Parent","Hospital Raw_Medicare1","Hospital Raw_Medicare2","Hospital Raw_Medicare3","Hospital Raw_OrgType","Hospital Raw_FYE","Hospital Raw_ICU","Hospital Raw_Acute","Hospital Raw_Psych","Hospital Raw_SNF","Hospital Raw_CDU_ATC","Hospital Raw_Other","Hospital Raw_Available","Hospital Raw_Licensed","Reserved_1","Reserved_2","Reserved_3","Reserved_4","Reserved_5","Reserved_6","Reserved_7","Reserved_8","Reserved_9","Reserved_10","Reserved_11","Reserved_12","Reserved_13","Reserved_14","Reserved_15","Reserved_16","Reserved_17","Reserved_18","Reserved_19","Reserved_20","Reserved_21","Reserved_22","Reserved_23","Reserved_24","Reserved_25","Reserved_26","Reserved_27","Reserved_28","Reserved_29","Reserved_30","Reserved_31","Reserved_32","Reserved_33","Reserved_34","Reserved_35","Reserved_36","Reserved_37","Reserved_38","Reserved_39","Reserved_40","Reserved_41","Reserved_42","Reserved_43","Reserved_44","Reserved_45","Reserved_46","Reserved_47","Reserved_48","Reserved_49","Reserved_50","Reserved_51","Reserved_52","Reserved_53","Reserved_54","Reserved_55","Reserved_56","Reserved_57","Reserved_58","Reserved_59","Reserved_60","Reserved_61","Reserved_62","Reserved_63","Reserved_64","Reserved_65","Reserved_66","Reserved_67","Reserved_68","Reserved_69","Reserved_70","Reserved_71","Reserved_72","Reserved_73","Reserved_74","Reserved_75","Reserved_76","Reserved_77","Reserved_78","Reserved_79","Reserved_80","Reserved_81","Reserved_82","Reserved_83","Reserved_84","Reserved_85","Reserved_86","Reserved_87","Reserved_88","Reserved_89","Reserved_90","Reserved_91","Reserved_92","Reserved_93","Reserved_94","Reserved_95","Reserved_96","Reserved_97","Reserved_98","Reserved_99","Reserved_100","Reserved_101","Reserved_102","Reserved_103","Reserved_104","Reserved_105","Reserved_106","Reserved_107","Reserved_108","Reserved_109","Reserved_110","Reserved_111","Reserved_112","Reserved_113","Reserved_114","Reserved_115","Reserved_116","Reserved_117","Reserved_118","Reserved_119","Reserved_120","Reserved_121","Reserved_122","Reserved_123","Reserved_124","Reserved_125","Reserved_126","Reserved_127","Reserved_128","Reserved_129","Reserved_130","Reserved_131","Reserved_132","Reserved_133","Reserved_134","Reserved_135","Reserved_136","Reserved_137"
"099C4286DA04F39B","AF","LA COUNTRY CARE|OTHELLO|5094889756","LA COUNTRY CARE","OP","AF","2073 W BENCH RD","OTHELLO","WA","99344","Adams","2073 W BENCH RD","OTHELLO","WA","99344","(509) 488-9756","","(509) 488-0684","103302","6","","","","","","","","","","","","","","","","","","","","","","","","","Mental Health, Dementia, Developmental Disabilities","No Contract","1C","SPMI, SPDE, SPDD","","Quezada, Guadalupe A.","1022696","False","","","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=103302","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=103302","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","Mental Health, Dementia, Developmental Disabilities","No Contract","103302","40001033","32310","AF  ","LA COUNTRY CARE","OP    ","2073 W BENCH RD","OTHELLO","WA","99344","Adams","2073 W BENCH RD","OTHELLO","WA","99344","(509) 488-9756","","(509) 488-0684","1C","SPMI, SPDE, SPDD","","Quezada, Guadalupe A.","6","","","","1022696","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=103302","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=103302","Mental Health, Dementia, Developmental Disabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"661D674F355634EF","AF","OTHELLO SENIOR CARE LLC|OTHELLO|5094889556","Othello Senior Care LLC","OP","AF","520 E Rose Dr","Othello","WA","99344","Adams","520 E Rose Dr","Othello","WA","99344","(509) 488-9556","","(509) 488-6081","754222","6","","","","","","","","","","","","","","","","","","","","","","","","","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Castillo, Diana E.","198098","False","","","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754222","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754222","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","754222","40009324","45660","AF  ","Othello Senior Care LLC","OP    ","520 E Rose Dr","Othello","WA","99344","Adams","520 E Rose Dr","Othello","WA","99344","(509) 488-9556","","(509) 488-6081","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Castillo, Diana E.","6","","","","198098","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754222","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754222","Mental Health, Dementia, Developmental Disabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4B187309EC43C87","AF","SERENITY ADULT FAMILY HOME LLC|OTHELLO|5094883077","Serenity Adult Family Home LLC","OP","AF","1120 S Shady Lane","Othello","WA","99344","Adams","1120 S Shady Lane","Othello","WA","99344","(509) 488-3077","","(509) 488-5959","753550","6","","","","","","","","","","","","","","","","","","","","","","","","","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gonzalez, Maria D.","783603","False","","","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753550","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753550","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753550","40009857","44689","AF  ","Serenity Adult Family Home LLC","OP    ","1120 S Shady Lane","Othello","WA","99344","Adams","1120 S Shady Lane","Othello","WA","99344","(509) 488-3077","","(509) 488-5959","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gonzalez, Maria D.","6","","","","783603","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753550","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753550","Mental Health, Dementia, Developmental Disabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6921012754E82B0","AF","THE VILLAGE|OTHELLO|5093315500","The Village","OP","AF","2075 W BENCH RD","OTHELLO","WA","99344","Adams","2075 W BENCH RD","OTHELLO","WA","99344","(509) 331-5500","","(509) 331-5500","756697","6","","","","","","","","","","","","","","","","","","","","","","","","","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Quezada, Guadalupe A.","1022696","False","","","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756697","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756697","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","756697","40005179","48937","AF  ","The Village","OP    ","2075 W BENCH RD","OTHELLO","WA","99344","Adams","2075 W BENCH RD","OTHELLO","WA","99344","(509) 331-5500","","(509) 331-5500","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Quezada, Guadalupe A.","6","","","","1022696","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756697","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756697","Mental Health, Dementia, Developmental Disabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127DA457378918D2","AF","WEEPING RIDGE ESTATE AFH INC|OTHELLO|5094886233","WEEPING RIDGE ESTATE AFH INC","OP","AF","2455 W BENCH RD","OTHELLO","WA","99344","Adams","P.O Box D","OTHELLO","WA","99344","(509) 488-6233","","(509) 488-3600","378700","6","","","","","","","","","","","","","","","","","","","","","","","","","Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Expanded Community Services, Adult Family Home","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rodriguez Jr, Israel","511922","False","","","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=378700","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=378700","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Expanded Community Services, Adult Family Home","378700","40003787","35510","AF  ","WEEPING RIDGE ESTATE AFH INC","OP    ","2455 W BENCH RD","OTHELLO","WA","99344","Adams","P.O Box D","OTHELLO","WA","99344","(509) 488-6233","","(509) 488-3600","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rodriguez Jr, Israel","6","","","","511922","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=378700","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=378700","Mental Health, Dementia, Developmental Disabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3F8691A0E23A53C7","BH","COMMUNITY PRIDE RITZVILLE LLC|RITZVILLE|5096594717","Community Pride Ritzville LLC","OP","BH","406 S Cascade St","Ritzville","WA","99169","Adams","PO Box 59","Saint John","WA","99171","(509) 659-4717","","(509) 659-4716","2631","21","4/30/2026 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","Assisted Living SOW","1B","","1002XS-12 ","Sadera, Isaac","175883","False","","","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2631","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assisted Living SOW","","2631","60001105","47840","BH  ","Community Pride Ritzville LLC","OP    ","406 S Cascade St","Ritzville","WA","99169","Adams","PO Box 59","Saint John","WA","99171","(509) 659-4717","","(509) 659-4716","1B","","1002XS-12 ","Sadera, Isaac","21","4/30/2026 12:00:00 AM","","","175883","False","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8B99EB250FB2BDD","BH","COVENTRY HOUSE|OTHELLO|5094881000","COVENTRY HOUSE","OP","BH","430 N 2nd Ave","Othello","WA","99344","Adams","430 N 2nd Ave","Othello","WA","99344","(509) 488-1000","","(509) 488-9235","2334","55","3/31/2027 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","Assisted Living SOW","1B","","1002XS-12 ","Flores, Monica","877285","False","","","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2334","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assisted Living SOW","","2334","60008896","43697","BH  ","COVENTRY HOUSE","OP    ","430 N 2nd Ave","Othello","WA","99344","Adams","430 N 2nd Ave","Othello","WA","99344","(509) 488-1000","","(509) 488-9235","1B","","1002XS-12 ","Flores, Monica","55","3/31/2027 12:00:00 AM","","","877285","False","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7DCA40D770AD14E","BH","AVALON PROGRESSIVE CARE LLC|CLARKSTON|5097586770","AVALON PROGRESSIVE CARE LLC","OP","BH","1937 2ND AVE","CLARKSTON","WA","99403     ","Asotin","1937 2ND AVE","CLARKSTON","WA","99403     ","(509) 758-6770","(509) 758-9310","","2039","12","7/31/2026 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living Services ECS","1B","","1006XS-12 , 1006XS-12 ","Galles, Carol A.","750225","False","","","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2039","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living Services ECS","","2039","60009516","39377","BH  ","AVALON PROGRESSIVE CARE LLC","OP    ","1937 2ND AVE","CLARKSTON","WA","99403     ","Asotin","1937 2ND AVE","CLARKSTON","WA","99403     ","(509) 758-6770","(509) 758-9310","","1B","","1006XS-12 , 1006XS-12 ","Galles, Carol A.","12","7/31/2026 12:00:00 AM","","","750225","False","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BF348F81D7FBEAE","BH","EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY|CLARKSTON|5097585260","EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY","OP","BH","1215 Evergreen Ct","Clarkston","WA","99403","Asotin","1215 Evergreen Ct","Clarkston","WA","99403","(509) 758-5260","(509) 758-1992","","2022","55","9/30/2026 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","1B","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Camerlo, Peter A.","749120","False","","","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2022","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2022","60000693","40054","BH  ","EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY","OP    ","1215 Evergreen Ct","Clarkston","WA","99403","Asotin","1215 Evergreen Ct","Clarkston","WA","99403","(509) 758-5260","(509) 758-1992","","1B","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Camerlo, Peter A.","55","9/30/2026 12:00:00 AM","","","749120","False","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3B20641766C5BCD2","BH","AMBER HILLS ASSISTED LIVING|PROSSER|5097863100","Amber Hills Assisted Living","OP","BH","125 N Wamba Rd","Prosser","WA","99350","Benton","125 N Wamba Rd","Prosser","WA","99350","(509) 786-3100","","(509) 786-2543","2616","44","11/30/2026 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","1G","","1006XS-12 , 1002XS-12 , 1006XS-12 ","McDaniel, Thomas W.","623108","False","","","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2616","","","","","","","","","","","","","","","","","","","","","","","","","2026-06-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","2616","60008773","47348","BH  ","Amber Hills Assisted Living","OP    ","125 N Wamba Rd","Prosser","WA","99350","Benton","125 N Wamba Rd","Prosser","WA","99350","(509) 786-3100","","(509) 786-2543","1G","","1006XS-12 , 1002XS-12 , 1006XS-12 ","McDaniel, Thomas W.","44","11/30/2026 12:00:00 AM","","","623108","False","","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
